Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Cleaned_Tokens,Filtered_Tokens,Lemmatized_Tokens,Dominant_Topic,Topic_Probability
0,0,0, Enjoying a beautiful day at the park!              , Positive  ,2023-01-15 12:30:00, User123      , Twitter  , #Nature #Park                            ,15.0,30.0, USA      ,2023,1,15,12,"['enjoying', 'a', 'beautiful', 'day', 'at', 'the', 'park']","['enjoying', 'beautiful', 'day', 'park']","['enjoy', 'beautiful', 'day', 'park']",4,0.44449878
1,1,1, Traffic was terrible this morning.                 , Negative  ,2023-01-15 08:45:00, CommuterX    , Twitter  , #Traffic #Morning                        ,5.0,10.0, Canada   ,2023,1,15,8,"['traffic', 'was', 'terrible', 'this', 'morning']","['traffic', 'terrible', 'morning']","['traffic', 'terrible', 'morning']",4,0.22940049
2,2,2, Just finished an amazing workout! 💪               , Positive  ,2023-01-15 15:45:00, FitnessFan   , Instagram , #Fitness #Workout                        ,20.0,40.0, USA        ,2023,1,15,15,"['just', 'finished', 'an', 'amazing', 'workout']","['finished', 'amazing', 'workout']","['finish', 'amaze', 'workout']",4,0.73687637
3,3,3, Excited about the upcoming weekend getaway!        , Positive  ,2023-01-15 18:20:00, AdventureX   , Facebook , #Travel #Adventure                       ,8.0,15.0, UK       ,2023,1,15,18,"['excited', 'about', 'the', 'upcoming', 'weekend', 'getaway']","['excited', 'upcoming', 'weekend', 'getaway']","['excited', 'upcoming', 'weekend', 'getaway']",5,0.8383084
4,4,4, Trying out a new recipe for dinner tonight.        , Neutral   ,2023-01-15 19:55:00, ChefCook     , Instagram , #Cooking #Food                           ,12.0,25.0, Australia ,2023,1,15,19,"['trying', 'out', 'a', 'new', 'recipe', 'for', 'dinner', 'tonight']","['trying', 'new', 'recipe', 'dinner', 'tonight']","['try', 'new', 'recipe', 'dinner', 'tonight']",1,0.88126385
5,5,5, Feeling grateful for the little things in life.    , Positive  ,2023-01-16 09:10:00, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25.0,50.0, India    ,2023,1,16,9,"['feeling', 'grateful', 'for', 'the', 'little', 'things', 'in', 'life']","['feeling', 'grateful', 'little', 'things', 'life']","['feel', 'grateful', 'little', 'thing', 'life']",5,0.83824503
6,6,6, Rainy days call for cozy blankets and hot cocoa.   , Positive  ,2023-01-16 14:45:00, RainyDays    , Facebook , #RainyDays #Cozy                         ,10.0,20.0, Canada   ,2023,1,16,14,"['rainy', 'days', 'call', 'for', 'cozy', 'blankets', 'and', 'hot', 'cocoa']","['rainy', 'days', 'call', 'cozy', 'blankets', 'hot', 'cocoa']","['rainy', 'day', 'call', 'cozy', 'blanket', 'hot', 'cocoa']",4,0.736848
7,7,7, The new movie release is a must-watch!             , Positive  ,2023-01-16 19:30:00, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15.0,30.0, USA    ,2023,1,16,19,"['the', 'new', 'movie', 'release', 'is', 'a', 'mustwatch']","['new', 'movie', 'release', 'mustwatch']","['new', 'movie', 'release', 'mustwatch']",4,0.44421297
8,8,8, Political discussions heating up on the timeline.  , Negative  ,2023-01-17 08:00:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30.0,60.0, USA      ,2023,1,17,8,"['political', 'discussions', 'heating', 'up', 'on', 'the', 'timeline']","['political', 'discussions', 'heating', 'timeline']","['political', 'discussion', 'heat', 'timeline']",4,0.22940049
9,9,9, Missing summer vibes and beach days.               , Neutral   ,2023-01-17 12:20:00, BeachLover   , Facebook , #Summer #BeachDays                      ,18.0,35.0, Australia ,2023,1,17,12,"['missing', 'summer', 'vibes', 'and', 'beach', 'days']","['missing', 'summer', 'vibes', 'beach', 'days']","['miss', 'summer', 'vibe', 'beach', 'day']",4,0.8864293
10,10,10, Just published a new blog post. Check it out!      , Positive  ,2023-01-17 15:15:00, BloggerX     , Instagram , #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15,"['just', 'published', 'a', 'new', 'blog', 'post', 'check', 'it', 'out']","['published', 'new', 'blog', 'post', 'check']","['publish', 'new', 'blog', 'post', 'check']",1,0.72485614
11,11,11, Feeling a bit under the weather today.             , Negative  ,2023-01-18 10:30:00, WellnessCheck, Twitter  , #SickDay #Health                        ,7.0,15.0, Canada   ,2023,1,18,10,"['feeling', 'a', 'bit', 'under', 'the', 'weather', 'today']","['feeling', 'bit', 'weather', 'today']","['feel', 'bit', 'weather', 'today']",5,0.7318436
12,12,12, Exploring the city's hidden gems.                  , Positive  ,2023-01-18 14:50:00, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12.0,25.0, UK       ,2023,1,18,14,"['exploring', 'the', 'citys', 'hidden', 'gems']","['exploring', 'citys', 'hidden', 'gems']","['explore', 'citys', 'hidden', 'gem']",1,0.8340922
13,13,13," New year, new fitness goals! 💪                    ", Positive  ,2023-01-18 18:00:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28.0,55.0, USA        ,2023,1,18,18,"['new', 'year', 'new', 'fitness', 'goals']","['new', 'year', 'new', 'fitness', 'goals']","['new', 'year', 'new', 'fitness', 'goal']",1,0.52108276
14,14,14, Technology is changing the way we live.            , Neutral   ,2023-01-19 09:45:00, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15.0,30.0, India    ,2023,1,19,9,"['technology', 'is', 'changing', 'the', 'way', 'we', 'live']","['technology', 'changing', 'way', 'live']","['technology', 'change', 'way', 'live']",5,0.73183936
15,15,15, Reflecting on the past and looking ahead.          , Positive  ,2023-01-19 13:20:00, Reflections  , Facebook , #Reflection #Future                     ,20.0,40.0, USA      ,2023,1,19,13,"['reflecting', 'on', 'the', 'past', 'and', 'looking', 'ahead']","['reflecting', 'past', 'looking', 'ahead']","['reflect', 'past', 'look', 'ahead']",5,0.88426393
16,16,16, Just adopted a cute furry friend! 🐾              , Positive  ,2023-01-19 17:10:00, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15.0,30.0, Canada    ,2023,1,19,17,"['just', 'adopted', 'a', 'cute', 'furry', 'friend']","['adopted', 'cute', 'furry', 'friend']","['adopt', 'cute', 'furry', 'friend']",1,0.7248038
17,17,17, Late-night gaming session with friends.            , Positive  ,2023-01-20 00:05:00, GamerX       , Twitter  , #Gaming #LateNight                      ,18.0,35.0, UK       ,2023,1,20,0,"['latenight', 'gaming', 'session', 'with', 'friends']","['latenight', 'gaming', 'session', 'friends']","['latenight', 'game', 'session', 'friend']",1,0.7247999
18,18,18, Attending a virtual conference on AI.              , Neutral   ,2023-01-20 11:30:00, TechConference, Facebook , #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11,"['attending', 'a', 'virtual', 'conference', 'on', 'ai']","['attending', 'virtual', 'conference']","['attend', 'virtual', 'conference']",5,0.731833
